,mukey,om,cec,ph
425,399781,2.0,17.0,8.0
426,403232,1.0,24.0,7.0
427,396157,4.0,29.0,6.0
428,3182568,4.0,25.0,7.0
429,3182557,6.0,30.0,7.0
430,2669022,2.0,15.0,8.0
431,2669024,2.0,15.0,8.0
432,3182562,4.0,25.0,7.0
433,403266,4.0,21.0,7.0
434,399776,0.0,18.0,7.0
435,396132,2.0,28.0,7.0
436,399800,2.0,20.0,7.0
437,183024,4.0,26.0,6.0
438,403266,4.0,20.0,6.0
439,399803,3.0,20.0,7.0
440,396157,2.0,34.0,7.0
441,3182557,1.0,24.0,8.0
442,3182562,4.0,27.0,8.0
443,403269,8.0,26.0,7.0
444,3182557,5.0,26.0,7.0
445,403232,0.0,16.0,7.0
446,403232,1.0,12.0,7.0
447,403236,2.0,12.0,6.0
448,244689,0.0,22.0,6.0
449,403266,0.0,18.0,6.0
450,399778,4.0,20.0,7.0
451,399802,1.0,21.0,7.0
452,403266,4.0,21.0,7.0
453,435526,4.0,14.0,6.0
454,183054,0.0,20.0,7.0
455,399796,3.0,20.0,7.0
456,399800,1.0,21.0,7.0
457,396161,5.0,21.0,6.0
458,399803,2.0,23.0,6.0
459,403268,2.0,13.0,6.0
460,1596035,0.0,28.0,6.0
461,403266,4.0,20.0,6.0
462,403268,0.0,18.0,6.0
463,399776,2.0,20.0,7.0
464,396153,1.0,32.0,7.0
465,1150789,2.0,22.0,8.0
466,399777,2.0,20.0,6.0
467,2745864,0.0,28.0,7.0
468,399776,2.0,20.0,6.0
469,403266,2.0,12.0,7.0
470,399803,2.0,17.0,8.0
471,403236,1.0,4.0,6.0
472,396161,0.0,15.0,8.0
473,399803,0.0,15.0,8.0
474,2669022,2.0,19.0,8.0
475,403268,0.0,18.0,6.0
476,399776,0.0,17.0,7.0
477,1150789,2.0,18.0,8.0
478,399800,0.0,15.0,8.0
479,396157,2.0,30.0,7.0
480,399778,3.0,20.0,7.0
481,399776,1.0,19.0,7.0
482,399774,3.0,20.0,6.0
483,3182568,0.0,18.0,8.0
484,403232,1.0,24.0,7.0
485,403269,1.0,24.0,7.0
486,2669024,1.0,16.0,8.0
487,399796,1.0,21.0,6.0
488,403236,3.0,18.0,6.0
489,399776,3.0,20.0,7.0
490,435686,0.0,10.0,8.0
491,3182556,0.0,18.0,8.0
492,399778,0.0,21.0,8.0
493,399778,0.0,15.0,8.0
494,403232,2.0,25.0,7.0
495,2669024,0.0,20.0,8.0
496,2669024,2.0,21.0,7.0
497,1150813,2.0,20.0,8.0
498,399803,2.0,25.0,7.0
499,399802,1.0,21.0,7.0
500,399796,1.0,25.0,7.0
501,3182568,1.0,24.0,8.0
502,396132,9.0,30.0,7.0
503,3182562,4.0,25.0,7.0
504,403266,0.0,31.0,7.0
505,403240,1.0,6.0,6.0
506,183024,1.0,28.0,6.0
507,3182557,0.0,18.0,8.0
508,399803,2.0,17.0,8.0
509,399787,0.0,22.0,8.0
510,244688,2.0,14.0,6.0
511,403236,0.0,20.0,6.0
512,399803,2.0,20.0,6.0
513,183070,0.0,20.0,7.0
514,403269,0.0,15.0,8.0
515,403268,0.0,20.0,6.0
516,403269,1.0,24.0,7.0
517,399781,1.0,19.0,7.0
518,1612280,1.0,24.0,7.0
519,1596035,4.0,20.0,7.0
520,403266,4.0,20.0,6.0
521,396161,0.0,17.0,8.0
522,399776,0.0,15.0,8.0
523,403266,2.0,25.0,6.0
524,403268,2.0,25.0,6.0
525,399776,3.0,20.0,6.0
526,403266,0.0,17.0,7.0
527,403266,3.0,18.0,6.0
528,399776,1.0,19.0,7.0
529,3182556,4.0,24.0,8.0
530,399778,3.0,20.0,6.0
531,399778,0.0,21.0,8.0
532,403268,0.0,18.0,6.0
533,399802,0.0,17.0,8.0
534,403236,1.0,4.0,6.0
535,396157,3.0,29.0,6.0
536,403266,0.0,35.0,7.0
537,399804,0.0,15.0,8.0
538,399781,0.0,15.0,8.0
539,399776,4.0,20.0,7.0
540,399802,3.0,20.0,7.0
541,399776,3.0,20.0,6.0
542,2669022,0.0,14.0,8.0
543,2745864,1.0,29.0,7.0
544,399802,1.0,24.0,8.0
545,399776,1.0,19.0,7.0
546,399781,1.0,19.0,7.0
547,399779,2.0,17.0,8.0
548,403269,1.0,11.0,8.0
549,403232,1.0,24.0,7.0
550,399778,3.0,20.0,7.0
551,403236,0.0,18.0,6.0
552,399778,0.0,17.0,7.0
553,435686,0.0,12.0,8.0
554,1150810,0.0,16.0,8.0
555,1596037,2.0,26.0,7.0
556,183054,1.0,26.0,6.0
557,403269,1.0,13.0,7.0
558,3182562,4.0,25.0,7.0
559,403268,0.0,20.0,6.0
560,403266,2.0,13.0,6.0
561,1595801,2.0,16.0,7.0
562,2669024,0.0,20.0,8.0
563,2669022,0.0,12.0,8.0
564,2669024,2.0,19.0,7.0
565,403268,0.0,20.0,6.0
566,399803,2.0,20.0,6.0
567,399803,0.0,15.0,8.0
568,244623,2.0,16.0,6.0
569,435686,2.0,12.0,8.0
570,1595766,4.0,22.0,7.0
571,396153,6.0,25.0,8.0
572,183054,0.0,19.0,7.0
573,403232,0.0,12.0,7.0
574,399796,5.0,22.0,6.0
575,399778,2.0,20.0,6.0
576,435526,0.0,8.0,8.0
577,403266,0.0,12.0,8.0
578,403266,1.0,12.0,7.0
579,3182556,4.0,25.0,7.0
580,399802,3.0,20.0,7.0
581,399774,0.0,17.0,7.0
582,403236,0.0,12.0,7.0
583,399802,2.0,20.0,6.0
584,399778,1.0,19.0,7.0
585,399779,0.0,15.0,8.0
586,3182556,2.0,25.0,7.0
587,403268,0.0,12.0,6.0
588,399776,2.0,17.0,8.0
589,403269,0.0,12.0,7.0
590,403236,1.0,4.0,6.0
591,3182568,0.0,20.0,8.0
592,399778,4.0,20.0,7.0
593,399778,3.0,20.0,7.0
594,403232,18.0,45.0,6.0
595,403268,2.0,18.0,6.0
596,399779,2.0,17.0,8.0
597,399776,0.0,15.0,8.0
598,399778,1.0,19.0,7.0
599,403269,3.0,21.0,7.0
600,403240,0.0,6.0,6.0
601,2745864,0.0,20.0,8.0
602,244688,0.0,18.0,6.0
603,403266,0.0,18.0,7.0
604,399779,0.0,17.0,7.0
605,403236,0.0,12.0,7.0
606,399803,2.0,23.0,6.0
607,403266,2.0,12.0,7.0
608,396153,6.0,36.0,7.0
609,3182568,4.0,25.0,7.0
610,399792,4.0,24.0,7.0
611,396157,0.0,17.0,7.0
612,403236,0.0,12.0,8.0
613,2669024,2.0,20.0,7.0
614,399802,2.0,23.0,6.0
615,403266,2.0,25.0,6.0
616,399776,3.0,20.0,7.0
617,399774,0.0,17.0,7.0
618,1596035,0.0,23.0,7.0
619,403266,2.0,20.0,6.0
620,403232,1.0,24.0,7.0
621,403232,1.0,13.0,7.0
622,1596039,1.0,19.0,7.0
623,244815,0.0,17.0,6.0
624,396157,2.0,30.0,7.0
625,1150810,2.0,22.0,8.0
626,399803,4.0,20.0,7.0
627,399776,2.0,17.0,8.0
628,2668945,1.0,23.0,7.0
629,403240,2.0,12.0,6.0
630,403232,1.0,24.0,7.0
631,399800,1.0,19.0,7.0
632,403268,4.0,20.0,6.0
633,403268,0.0,18.0,6.0
634,396153,0.0,22.0,8.0
635,403268,0.0,35.0,6.0
636,2745864,2.0,20.0,7.0
637,396132,6.0,30.0,8.0
638,396132,0.0,24.0,7.0
639,403266,0.0,20.0,6.0
640,3182557,1.0,24.0,8.0
641,3182557,4.0,25.0,8.0
642,403236,0.0,18.0,6.0
643,1595766,2.0,26.0,7.0
644,403236,1.0,4.0,6.0
